prodcodeid,dmdid,termfromemis,productname,formulation,routeofadministration,drugsubstancename,substancestrength,bnfchapter,inhaler
138041000033110,3194011000001108,Becotide 400microgram Rotacaps (GlaxoSmithKline UK Ltd),Becotide 400microgram Rotacaps,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram,,ics
13815341000033114,39567811000001100,Fixkoh Airmaster 50micrograms/dose / 100micrograms/dose dry powder inhaler (Genus Pharmaceuticals Ltd),Fixkoh Airmaster 50micrograms/dose / 100micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,100.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
13815441000033115,39567611000001104,Fixkoh Airmaster 50micrograms/dose / 250micrograms/dose dry powder inhaler (Genus Pharmaceuticals Ltd),Fixkoh Airmaster 50micrograms/dose / 250micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
13815541000033119,39567411000001102,Fixkoh Airmaster 50micrograms/dose / 500micrograms/dose dry powder inhaler (Genus Pharmaceuticals Ltd),Fixkoh Airmaster 50micrograms/dose / 500micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,500.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
13844541000033111,39605711000001106,Tiogiva 18microgram inhalation powder capsules with device (Glenmark Pharmaceuticals Europe Ltd),Tiogiva 18microgram inhalation powder capsules with device,Inhalation powder,Inhalation,Tiotropium bromide,18.000microgram,,lama
13844641000033112,39606211000001105,Tiogiva 18microgram inhalation powder capsules (Glenmark Pharmaceuticals Europe Ltd),Tiogiva 18microgram inhalation powder capsules,Inhalation powder,Inhalation,Tiotropium bromide,18.000microgram,,lama
13859141000033118,39666311000001103,Acopair 18microgram inhalation powder capsules with NeumoHaler (Viatris UK Healthcare Ltd),Acopair 18microgram inhalation powder capsules with NeumoHaler,Inhalation powder,Inhalation,Tiotropium bromide,18.000microgram,,lama
13860241000033114,39817511000001103,Luforbec 100micrograms/dose / 6micrograms/dose inhaler (Lupin Healthcare (UK) Ltd),Luforbec 100micrograms/dose / 6micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate/ Formoterol fumarate dihydrate,100.000microgram/1.000dose + 6.000microgram/1.000dose,,laba-ics
13912841000033115,39993311000001105,Trimbow NEXThaler 88micrograms/dose / 5micrograms/dose / 9micrograms/dose dry powder inhaler (Chiesi Ltd),Trimbow NEXThaler 88micrograms/dose / 5micrograms/dose / 9micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate/ Formoterol fumarate dihydrate/ Glycopyrronium bromide,88.000microgram/1.000dose + 5.000microgram/1.000dose + 9.000microgram/1.000dose,,triple
13915941000033118,40106011000001102,WockAIR 160micrograms/dose / 4.5micrograms/dose dry powder inhaler (Wockhardt UK Ltd),WockAIR 160micrograms/dose / 4.5micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Budesonide/ Formoterol fumarate dihydrate,200.000microgram/1.000dose + 6.000microgram/1.000dose,,laba-ics
13916041000033111,40106211000001107,WockAIR 320micrograms/dose / 9micrograms/dose dry powder inhaler (Wockhardt UK Ltd),WockAIR 320micrograms/dose / 9micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Budesonide/ Formoterol fumarate dihydrate,400.000microgram/1.000dose + 12.000microgram/1.000dose,,laba-ics
13933441000033119,40040711000001101,Avenor 25micrograms/dose / 125micrograms/dose inhaler (Zentiva Pharma UK Ltd),Avenor 25micrograms/dose / 125micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,125.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
13933541000033118,40040911000001104,Avenor 25micrograms/dose / 250micrograms/dose inhaler (Zentiva Pharma UK Ltd),Avenor 25micrograms/dose / 250micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
13933641000033117,40034211000001104,Avenor 25micrograms/dose / 50micrograms/dose inhaler (Zentiva Pharma UK Ltd),Avenor 25micrograms/dose / 50micrograms/dose inhaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,50.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
13980041000033111,40455711000001101,Fluticasone propionate 100micrograms/dose / Salmeterol 12.75micrograms/dose dry powder inhaler,Fluticasone propionate 100micrograms/dose / Salmeterol 12.75micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,100.000microgram/1.000dose + 12.750microgram/1.000dose,3020000,laba-ics
13980441000033119,40445111000001100,Seffalair Spiromax 12.75micrograms/dose / 100micrograms/dose dry powder inhaler (Teva UK Ltd),Seffalair Spiromax 12.75micrograms/dose / 100micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,100.000microgram/1.000dose + 12.750microgram/1.000dose,,laba-ics
13980541000033118,40444911000001101,Seffalair Spiromax 12.75micrograms/dose / 202micrograms/dose dry powder inhaler (Teva UK Ltd),Seffalair Spiromax 12.75micrograms/dose / 202micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,202.000microgram/1.000dose + 12.750microgram/1.000dose,,laba-ics
139841000033114,,Becotide  Suspension  50 micrograms/ml,,,,,,,ics
14005841000033118,40504911000001103,Sereflo Ciphaler 50micrograms/dose / 250micrograms/dose dry powder inhaler (Cipla EU Ltd),Sereflo Ciphaler 50micrograms/dose / 250micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
14045741000033118,40752211000001109,Trimbow 172micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (Chiesi Ltd),Trimbow 172micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler,Pressurised inhalation,Inhalation,Beclometasone dipropionate/ Formoterol fumarate dihydrate/ Glycopyrronium bromide,172.000microgram/1.000dose + 5.000microgram/1.000dose + 9.000microgram/1.000dose,,triple
14060041000033117,40852311000001103,Luforbec 200micrograms/dose / 6micrograms/dose inhaler (Lupin Healthcare (UK) Ltd),Luforbec 200micrograms/dose / 6micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate/ Formoterol fumarate dihydrate,200.000microgram + 6.000microgram,,laba-ics
14116741000033110,41158211000001107,Campona Airmaster 50micrograms/dose / 100micrograms/dose dry powder inhaler (Genesis Pharmaceuticals Ltd),Campona Airmaster 50micrograms/dose / 100micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,100.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
14116941000033113,41158811000001108,Campona Airmaster 50micrograms/dose / 250micrograms/dose dry powder inhaler (Genesis Pharmaceuticals Ltd),Campona Airmaster 50micrograms/dose / 250micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
14117041000033114,41159011000001107,Campona Airmaster 50micrograms/dose / 500micrograms/dose dry powder inhaler (Genesis Pharmaceuticals Ltd),Campona Airmaster 50micrograms/dose / 500micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,500.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
14174141000033112,41475411000001100,Beclu 100micrograms/dose inhaler (Lupin Healthcare (UK) Ltd),Beclu 100micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
14192141000033111,41619211000001108,Sereflo Ciphaler 50micrograms/dose / 500micrograms/dose dry powder inhaler (Cipla EU Ltd),Sereflo Ciphaler 50micrograms/dose / 500micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,500.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
14212241000033118,41963811000001107,Bibecfo 100micrograms/dose / 6micrograms/dose inhaler (Cipla EU Ltd),Bibecfo 100micrograms/dose / 6micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate/ Formoterol fumarate dihydrate,100.000microgram/1.000dose + 6.000microgram/1.000dose,,laba-ics
1571041000033110,3112511000001109,Asmabec 100 Clickhaler (Focus Pharmaceuticals Ltd),Asmabec 100 Clickhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
1571141000033114,3174111000001102,Asmabec 250 Clickhaler (Focus Pharmaceuticals Ltd),Asmabec 250 Clickhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,250.000microgram/1.000dose,,ics
1571241000033119,3111911000001108,Asmabec 50 Clickhaler (Focus Pharmaceuticals Ltd),Asmabec 50 Clickhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,,ics
1571441000033118,,Asmabec Spacehaler 250  Inhaler with vortex generating actuator  250 micrograms/dose,,,,,,,ics
1577941000033118,3179511000001105,Beclazone 200 inhaler (Teva UK Ltd),Beclazone 200 inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,200.000microgram/1.000dose,,ics
1579841000033116,,Budesonide  Breath-Actuated Dry Powder Inhaler  100 micrograms/dose,,,,,,,ics
1579941000033112,,Budesonide  Breath-Actuated Dry Powder Inhaler  200 micrograms/dose,,,,,,,ics
163741000033113,35912511000001101,Budesonide 200micrograms/dose inhaler,Budesonide 200micrograms/dose inhaler, Pressurised inhalation,Inhalation,Budesonide,200.000microgram/1.000dose,3020000,ics
163841000033115,35912811000001103,Budesonide 50micrograms/dose inhaler,Budesonide 50micrograms/dose inhaler, Pressurised inhalation,Inhalation,Budesonide,50.000microgram/1.000dose,3020000,ics
1670741000033111,,Pulmicort Turbohaler  Breath-Actuated Dry Powder Inhaler  100 micrograms/dose,,,,,,,ics
1670841000033118,,Pulmicort Turbohaler  Breath-Actuated Dry Powder Inhaler  200 micrograms/dose,,,,,,,ics
1670941000033114,,Pulmicort Turbohaler  Breath-Actuated Dry Powder Inhaler  400 micrograms/dose,,,,,,,ics
1671041000033116,3176811000001102,Qvar 50 inhaler (Teva UK Ltd),Qvar 50 inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,,ics
1671141000033117,3175611000001106,Qvar 100 inhaler (Teva UK Ltd),Qvar 100 inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
1671241000033112,3177411000001102,Qvar 50 Autohaler (Teva UK Ltd),Qvar 50 Autohaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,,ics
1671341000033119,3177711000001108,Qvar 100 Autohaler (Teva UK Ltd),Qvar 100 Autohaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
171241000033113,,Budesonide  Refill canister  200 micrograms/dose,,,,,,,ics
171341000033115,,Budesonide  Refill canister  50 micrograms/dose,,,,,,,ics
171641000033111,,Budesonide  Spacer inhaler  50 micrograms/dose,,,,,,,ics
171741000033119,,Budesonide  Spacer inhaler  200 micrograms/dose,,,,,,,ics
174541000033113,,Budesonide  Turbohaler  400 micrograms/dose,,,,,,,ics
174641000033114,,Budesonide  Turbohaler  100 micrograms/dose,,,,,,,ics
1752141000033117,3186911000001100,Seretide 100 Accuhaler (GlaxoSmithKline UK Ltd),Seretide 100 Accuhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,100.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
1752241000033112,3187211000001106,Seretide 250 Accuhaler (GlaxoSmithKline UK Ltd),Seretide 250 Accuhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
1752341000033119,3188311000001102,Seretide 500 Accuhaler (GlaxoSmithKline UK Ltd),Seretide 500 Accuhaler,Inhalation powder,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,500.000microgram/1.000dose + 50.000microgram/1.000dose,,laba-ics
1914141000033114,39113211000001104,Salmeterol 50micrograms/dose dry powder inhaler,Salmeterol 50micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Salmeterol xinafoate,50.000microgram/1.000dose,3010101,laba
1914241000033119,35937811000001108,Salmeterol 50microgram inhalation powder blisters with device,Salmeterol 50microgram inhalation powder blisters with device,Inhalation powder,Inhalation,Salmeterol xinafoate,50.000microgram,3010101,laba
1914341000033112,38897911000001106,Fluticasone propionate 50micrograms/dose dry powder inhaler,Fluticasone propionate 50micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate,50.000microgram/1.000dose,3020000,ics
1914441000033118,38897811000001101,Fluticasone propionate 100micrograms/dose dry powder inhaler,Fluticasone propionate 100micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate,100.000microgram/1.000dose,3020000,ics
1914541000033117,36565411000001101,Fluticasone propionate 250micrograms/dose dry powder inhaler,Fluticasone propionate 250micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate,250.000microgram/1.000dose,3020000,ics
1914641000033116,38897711000001109,Fluticasone propionate 500micrograms/dose dry powder inhaler,Fluticasone propionate 500micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Fluticasone propionate,500.000microgram/1.000dose,3020000,ics
1914741000033113,36059911000001104,Fluticasone propionate 50microgram inhalation powder blisters with device,Fluticasone propionate 50microgram inhalation powder blisters with device,Inhalation powder,Inhalation,Fluticasone propionate,50.000microgram,3020000,ics
1914841000033115,36059311000001100,Fluticasone propionate 100microgram inhalation powder blisters with device,Fluticasone propionate 100microgram inhalation powder blisters with device,Inhalation powder,Inhalation,Fluticasone propionate,100.000microgram,3020000,ics
1914941000033111,36059411000001107,Fluticasone propionate 250microgram inhalation powder blisters with device,Fluticasone propionate 250microgram inhalation powder blisters with device,Inhalation powder,Inhalation,Fluticasone propionate,250.000microgram,3020000,ics
1915041000033111,36059711000001101,Fluticasone propionate 500microgram inhalation powder blisters with device,Fluticasone propionate 500microgram inhalation powder blisters with device,Inhalation powder,Inhalation,Fluticasone propionate,500.000microgram,3020000,ics
20141000033118,3604911000001105,AeroBec 50 Autohaler (Meda Pharmaceuticals Ltd),AeroBec 50 Autohaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,,ics
20241000033113,3182411000001107,AeroBec Forte 250 Autohaler (Meda Pharmaceuticals Ltd),AeroBec Forte 250 Autohaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,250.000microgram/1.000dose,,ics
20341000033115,3181411000001102,AeroBec 100 Autohaler (Meda Pharmaceuticals Ltd),AeroBec 100 Autohaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
2067541000033118,398511000001105,Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),Flixotide 125micrograms/dose Evohaler, Pressurised inhalation,Inhalation,Fluticasone propionate,125.000microgram/1.000dose,,ics
2067641000033117,2831211000001109,Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),Flixotide 250micrograms/dose Evohaler, Pressurised inhalation,Inhalation,Fluticasone propionate,250.000microgram/1.000dose,,ics
2067741000033114,39111211000001103,Fluticasone 125micrograms/dose inhaler CFC free,Fluticasone 125micrograms/dose inhaler CFC free, Pressurised inhalation,Inhalation,Fluticasone propionate,125.000microgram/1.000dose,3020000,ics
2067841000033116,39111411000001104,Fluticasone 250micrograms/dose inhaler CFC free,Fluticasone 250micrograms/dose inhaler CFC free, Pressurised inhalation,Inhalation,Fluticasone propionate,250.000microgram/1.000dose,3020000,ics
2147241000033117,453611000001102,Seretide 50 Evohaler (GlaxoSmithKline UK Ltd),Seretide 50 Evohaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,50.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
2147341000033110,810211000001105,Seretide 125 Evohaler (GlaxoSmithKline UK Ltd),Seretide 125 Evohaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,125.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
2147441000033116,539811000001106,Seretide 250 Evohaler (GlaxoSmithKline UK Ltd),Seretide 250 Evohaler, Pressurised inhalation,Inhalation,Fluticasone propionate/ Salmeterol xinafoate,250.000microgram/1.000dose + 25.000microgram/1.000dose,,laba-ics
2148441000033115,39110911000001100,Fluticasone 50micrograms/dose inhaler CFC free,Fluticasone 50micrograms/dose inhaler CFC free, Pressurised inhalation,Inhalation,Fluticasone propionate,50.000microgram/1.000dose,3020000,ics
2148541000033119,726611000001102,Flixotide 50micrograms/dose Evohaler (GlaxoSmithKline UK Ltd),Flixotide 50micrograms/dose Evohaler, Pressurised inhalation,Inhalation,Fluticasone propionate,50.000microgram/1.000dose,,ics
2587541000033118,3294211000001101,Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd),Symbicort 100/6 Turbohaler,Inhalation powder,Inhalation,Budesonide/ Formoterol fumarate dihydrate,100.000microgram/1.000dose + 6.000microgram/1.000dose,,laba-ics
2587641000033117,3294611000001104,Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd),Symbicort 200/6 Turbohaler,Inhalation powder,Inhalation,Budesonide/ Formoterol fumarate dihydrate,200.000microgram/1.000dose + 6.000microgram/1.000dose,,laba-ics
2623141000033115,3112911000001102,Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler (Chiesi Ltd),Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,,ics
2623241000033110,3113411000001101,Pulvinal Beclometasone Dipropionate 200micrograms/dose dry powder inhaler (Chiesi Ltd),Pulvinal Beclometasone Dipropionate 200micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,200.000microgram/1.000dose,,ics
2623341000033117,3175111000001103,Pulvinal Beclometasone Dipropionate 400micrograms/dose dry powder inhaler (Chiesi Ltd),Pulvinal Beclometasone Dipropionate 400micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram/1.000dose,,ics
2725541000033116,3189711000001107,Beclometasone 100 Cyclocaps (Teva UK Ltd),Beclometasone 100 Cyclocaps,Inhalation powder,Inhalation,Beclometasone dipropionate,100.000microgram,,ics
2725641000033115,3192611000001109,Beclometasone 200 Cyclocaps (Teva UK Ltd),Beclometasone 200 Cyclocaps,Inhalation powder,Inhalation,Beclometasone dipropionate,200.000microgram,,ics
2725741000033112,3194511000001100,Beclometasone 400 Cyclocaps (Teva UK Ltd),Beclometasone 400 Cyclocaps,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram,,ics
2725841000033119,3432911000001109,Budesonide 200microgram inhalation powder capsules,Budesonide 200microgram inhalation powder capsules,Inhalation powder,Inhalation,Budesonide,200.000microgram,3020000,ics
2725941000033110,3433011000001101,Budesonide 400microgram inhalation powder capsules,Budesonide 400microgram inhalation powder capsules,Inhalation powder,Inhalation,Budesonide,400.000microgram,3020000,ics
2726041000033117,3197211000001105,Budesonide 200 Cyclocaps (Teva UK Ltd),Budesonide 200 Cyclocaps,Inhalation powder,Inhalation,Budesonide,200.000microgram,,ics
2726141000033118,3198411000001108,Budesonide 400 Cyclocaps (Teva UK Ltd),Budesonide 400 Cyclocaps,Inhalation powder,Inhalation,Budesonide,400.000microgram,,ics
2793541000033114,9479011000001103,Tiotropium bromide 18microgram inhalation powder capsules with device,Tiotropium bromide 18microgram inhalation powder capsules with device,Inhalation powder,Inhalation,Tiotropium bromide,18.000microgram,3010200,lama
2793641000033110,9478911000001107,Tiotropium bromide 18microgram inhalation powder capsules,Tiotropium bromide 18microgram inhalation powder capsules,Inhalation powder,Inhalation,Tiotropium bromide,18.000microgram,3010200,lama
2793741000033118,3378211000001106,Spiriva 18microgram inhalation powder capsules with HandiHaler (Boehringer Ingelheim Ltd),Spiriva 18microgram inhalation powder capsules with HandiHaler,Inhalation powder,Inhalation,Tiotropium bromide,18.000microgram,,lama
2793841000033111,3380011000001106,Spiriva 18microgram inhalation powder capsules (Boehringer Ingelheim Ltd),Spiriva 18microgram inhalation powder capsules,Inhalation powder,Inhalation,Tiotropium bromide,18.000microgram,,lama
2798341000033112,4860811000001104,Pulmicort 200micrograms/dose inhaler with Nebuchamber (AstraZeneca UK Ltd),Pulmicort 200micrograms/dose inhaler with Nebuchamber, Pressurised inhalation,Inhalation,Budesonide,200.000microgram/1.000dose,,ics
2798441000033118,,Budesonide  Inhaler with spacer device  200 micrograms/dose,,,,,,,ics
2872641000033111,,"Mometasone Furoate  Dry Powder Inhaler  200 micrograms/dose, 30 doses",,,,,,,ics
2872741000033119,,"Mometasone Furoate  Dry Powder Inhaler  400 micrograms/dose, 60 doses",,,,,,,ics
2872841000033112,,"Mometasone Furoate  Dry Powder Inhaler  200 micrograms/dose, 60 doses",,,,,,,ics
2872941000033116,,"Mometasone Furoate  Dry Powder Inhaler  400 micrograms/dose, 30 doses",,,,,,,ics
2873041000033114,,"Asmanex Twisthaler  Dry Powder Inhaler  200 micrograms/dose, 30 doses",,,,,,,ics
2873141000033113,,"Asmanex Twisthaler  Dry Powder Inhaler  200 micrograms/dose, 60 doses",,,,,,,ics
2873241000033118,,"Asmanex Twisthaler  Dry Powder Inhaler  400 micrograms/dose, 30 doses",,,,,,,ics
2873341000033111,,"Asmanex Twisthaler  Dry Powder Inhaler  400 micrograms/dose, 60 doses",,,,,,,ics
2905641000033115,4373811000001100,Symbicort 400/12 Turbohaler (AstraZeneca UK Ltd),Symbicort 400/12 Turbohaler,Inhalation powder,Inhalation,Budesonide/ Formoterol fumarate dihydrate,400.000microgram/1.000dose + 12.000microgram/1.000dose,,laba-ics
3080441000033114,35908811000001103,Beclometasone 250micrograms/dose inhaler,Beclometasone 250micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,250.000microgram/1.000dose,3020000,ics
3080541000033110,35908611000001102,Beclometasone 250micrograms/dose breath actuated inhaler,Beclometasone 250micrograms/dose breath actuated inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,250.000microgram/1.000dose,3020000,ics
3080641000033111,35909211000001109,Beclometasone 50micrograms/dose breath actuated inhaler,Beclometasone 50micrograms/dose breath actuated inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,3020000,ics
3080741000033119,35907811000001102,Beclometasone 100micrograms/dose breath actuated inhaler,Beclometasone 100micrograms/dose breath actuated inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,3020000,ics
3081041000033114,35907711000001105,Beclometasone 100microgram inhalation powder blisters with device,Beclometasone 100microgram inhalation powder blisters with device,Inhalation powder,Inhalation,Beclometasone dipropionate,100.000microgram,3020000,ics
3081141000033113,35908311000001107,Beclometasone 200microgram inhalation powder blisters with device,Beclometasone 200microgram inhalation powder blisters with device,Inhalation powder,Inhalation,Beclometasone dipropionate,200.000microgram,3020000,ics
3081241000033118,35909011000001104,Beclometasone 400microgram inhalation powder blisters with device,Beclometasone 400microgram inhalation powder blisters with device,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram,3020000,ics
3081341000033111,35907611000001101,Beclometasone 100microgram inhalation powder blisters,Beclometasone 100microgram inhalation powder blisters,Inhalation powder,Inhalation,Beclometasone dipropionate,100.000microgram,3020000,ics
3081441000033117,35908211000001104,Beclometasone 200microgram inhalation powder blisters,Beclometasone 200microgram inhalation powder blisters,Inhalation powder,Inhalation,Beclometasone dipropionate,200.000microgram,3020000,ics
3081541000033116,35908911000001108,Beclometasone 400microgram inhalation powder blisters,Beclometasone 400microgram inhalation powder blisters,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram,3020000,ics
3081641000033115,35908511000001101,Beclometasone 200micrograms/dose inhaler,Beclometasone 200micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,200.000microgram/1.000dose,3020000,ics
3081741000033112,320537007,Beclometasone 100micrograms/dose inhaler,,,,,,3020000,ics
3081841000033119,35909511000001107,Beclometasone 50micrograms/dose inhaler,Beclometasone 50micrograms/dose inhaler, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,3020000,ics
3081941000033110,39695711000001109,Beclometasone 400microgram inhalation powder capsules,Beclometasone 400microgram inhalation powder capsules,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram,3020000,ics
3082041000033116,39695511000001104,Beclometasone 100microgram inhalation powder capsules,Beclometasone 100microgram inhalation powder capsules,Inhalation powder,Inhalation,Beclometasone dipropionate,100.000microgram,3020000,ics
3082141000033117,39695611000001100,Beclometasone 200microgram inhalation powder capsules,Beclometasone 200microgram inhalation powder capsules,Inhalation powder,Inhalation,Beclometasone dipropionate,200.000microgram,3020000,ics
3082241000033112,35909411000001108,Beclometasone 50micrograms/dose dry powder inhaler,Beclometasone 50micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,3020000,ics
3082341000033119,35908011000001109,Beclometasone 100micrograms/dose dry powder inhaler,Beclometasone 100micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,3020000,ics
3082441000033113,35908711000001106,Beclometasone 250micrograms/dose dry powder inhaler,Beclometasone 250micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,250.000microgram/1.000dose,3020000,ics
3082541000033114,35909111000001103,Beclometasone 400micrograms/dose dry powder inhaler,Beclometasone 400micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,400.000microgram/1.000dose,3020000,ics
3082641000033110,35908411000001100,Beclometasone 200micrograms/dose dry powder inhaler,Beclometasone 200micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Beclometasone dipropionate,200.000microgram/1.000dose,3020000,ics
3082741000033118,35909611000001106,Beclometasone 50micrograms/dose inhaler CFC free,Beclometasone 50micrograms/dose inhaler CFC free, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,3020000,ics
3082841000033111,35908111000001105,Beclometasone 100micrograms/dose inhaler CFC free,Beclometasone 100micrograms/dose inhaler CFC free, Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,3020000,ics
3082941000033115,35909311000001101,Beclometasone 50micrograms/dose breath actuated inhaler CFC free,Beclometasone 50micrograms/dose breath actuated inhaler CFC free, Pressurised inhalation,Inhalation,Beclometasone dipropionate,50.000microgram/1.000dose,3020000,ics
3083041000033113,35907911000001107,Beclometasone 100micrograms/dose breath actuated inhaler CFC free,Beclometasone 100micrograms/dose breath actuated inhaler CFC free, Pressurised inhalation,Inhalation,Beclometasone dipropionate,100.000microgram/1.000dose,3020000,ics
3089641000033116,39112911000001101,Formoterol 6micrograms/dose dry powder inhaler,Formoterol 6micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Formoterol fumarate dihydrate,6.000microgram/1.000dose,3010101,laba
3089741000033113,39113011000001109,Formoterol 12micrograms/dose dry powder inhaler,Formoterol 12micrograms/dose dry powder inhaler,Inhalation powder,Inhalation,Formoterol fumarate dihydrate,12.000microgram/1.000dose,3010101,laba
