conssourceid,description,primarycare,ae,op,hospital
8252,GP Practice,1,,,
8275,GP Practice,1,,,
8285,GP Practice,1,,,
8286,GP Practice,1,,,
8287,GP Practice,1,,,
8295,GP Practice,1,,,
8312,Night Visit,1,,,
8318,Night Visit - patient's home,1,,,
8319,Night Visit - patient's home,1,,,
8320,Night Visit - patient's home,1,,,
8325,"Night visit, Deputising service",1,,,
8348,Normal Home Visit (08:00 - 11:00),1,,,
8350,GP Practice,1,,,
8351,GP Practice,1,,,
8400,Nursing Home,1,,,
8409,GP Practice,1,,,
8411,GP Practice,1,,,
8423,GP Practice,1,,,
8427,GP Practice,1,,,
8429,GP Practice,1,,,
8446,OPEN DOOR SURGERY,1,,,
8503,Out of Hours,1,,,
8504,Out of Hours,1,,,
8505,Out of Hours,1,,,
8506,Out of Hours,1,,,
8527,"Out of hours, Non Practice",1,,,
8535,Outpatient NHS,,,1,
8540,Outpatient NHS,,,1,
8541,Outpatient NHS,,,1,
8542,Outpatient NHS,,,1,
8543,Outpatient NHS,,,1,
8544,Outpatient NHS,,,1,
8545,Outpatient NHS,,,1,
8546,Outpatient Private,,1,,
8547,Outpatient Private,,1,,
8548,Outpatient Private,,1,,
8549,Outpatient Private,,1,,
8550,Outpatient Trust,,,1,
8551,Outpatient Trust,,,1,
8552,Outpatient Trust,,,1,
8553,Outpatient Trust,,,1,
8554,Outpatient Trust,,,1,
8555,Outpatient Trust,,,1,
8556,Outpatient Trust,,,1,
8557,Outpatient Trust,,,1,
8558,Outpatient Trust,,,1,
8559,Outpatient Trust,,,1,
8560,Outpatient Trust,,,1,
8561,Outpatient Trust,,,1,
8562,Outpatient Trust,,,1,
8590,GP Practice,1,,,
8591,GP Practice,1,,,
8592,GP Practice,1,,,
8595,GP Practice,1,,,
8596,GP Practice,1,,,
8598,GP Practice,1,,,
8599,GP Practice,1,,,
8616,GP Practice,1,,,
8623,GP Practice,1,,,
8703,Nursing home visit note,1,,,
8721,GP Practice,1,,,
8752,GP Practice,1,,,
8753,GP Practice,1,,,
8793,Out Of Hours-Telephone Advice,1,,,
8794,Out of Hours,1,,,
8795,Out of Hours,1,,,
8796,Out of Hours,1,,,
8799,Out of hours consultation at surgery,1,,,
8812,Out Of Hours Visit,1,,,
8830,Outpatient NHS,,,1,
8831,Outpatient NHS,,,1,
8832,Outpatient NHS,,,1,
8833,Outpatient NHS,,,1,
8834,Outpatient NHS,,,1,
8835,Outpatient NHS,,,1,
8836,Outpatient NHS,,,1,
8862,GP Practice,1,,,
8889,GP Practice,1,,,
8892,GP Practice,1,,,
8894,GP Practice,1,,,
8895,GP Practice,1,,,
8896,GP Practice,1,,,
8944,GP Practice,1,,,
8948,GP Practice,1,,,
8986,GP Practice,1,,,
8990,GP Practice,1,,,
8994,GP Practice,1,,,
9031,GP Practice,1,,,
9046,GP Practice,1,,,
9060,Residential Home,1,,,
9061,Residential home visit note,1,,,
9081,GP Practice,1,,,
9085,GP Practice,1,,,
9086,GP Practice,1,,,
9091,GP Practice,1,,,
9157,GP Practice,1,,,
9203,Seen by Practice Nurse,1,,,
9217,Seen in Nurses Surgery,1,,,
9218,Seen in other clinic,1,,,
9235,GP Practice,1,,,
9236,GP Practice,1,,,
9237,GP Practice,1,,,
9238,GP Practice,1,,,
9239,GP Practice,1,,,
9251,GP Practice,1,,,
9262,GP Practice,1,,,
9263,GP Practice,1,,,
9289,GP Practice,1,,,
9292,GP Practice,1,,,
9298,GP Practice,1,,,
9302,GP Practice,1,,,
9303,GP Practice,1,,,
9319,GP Practice,1,,,
9320,GP Practice,1,,,
9324,GP Practice,1,,,
9325,GP Practice,1,,,
9326,GP Practice,1,,,
9327,GP Practice,1,,,
9331,GP Practice,1,,,
9333,GP Practice,1,,,
9334,GP Practice,1,,,
9344,GP Practice,1,,,
9346,GP Practice,1,,,
9347,GP Practice,1,,,
9358,Surgery Clinic,1,,,
9361,Surgery or Clinic,1,,,
9364,Surgery,1,,,
9365,Surgery,1,,,
9366,Surgery,1,,,
9375,GP Practice,1,,,
9376,GP Practice,1,,,
9382,GP Practice,1,,,
9413,Telephone Advice,1,,,
9436,Telephone,1,,,
9448,GP Practice,1,,,
9450,GP Practice,1,,,
9452,GP Practice,1,,,
9454,GP Practice,1,,,
9459,GP Practice,1,,,
9460,GP Practice,1,,,
9462,GP Practice,1,,,
9467,GP Practice,1,,,
9469,GP Practice,1,,,
9471,GP Practice,1,,,
9472,GP Practice,1,,,
9473,GP Practice,1,,,
9474,GP Practice,1,,,
9478,GP Practice,1,,,
9479,GP Practice,1,,,
9480,GP Practice,1,,,
9485,GP Practice,1,,,
9487,GP Practice,1,,,
9488,GP Practice,1,,,
9491,GP Practice,1,,,
9492,GP Practice,1,,,
9494,GP Practice,1,,,
9495,GP Practice,1,,,
9502,GP Practice,1,,,
9508,GP Practice,1,,,
9509,GP Practice,1,,,
9512,GP Practice,1,,,
9519,Treatment Room,1,,,
9543,GP Practice,1,,,
9554,GP Practice,1,,,
9608,GP Practice,1,,,
9609,GP Practice,1,,,
9611,GP Practice,1,,,
9615,GP Practice,1,,,
9633,Walk In Centre,1,,,
9651,GP Practice,1,,,
9652,GP Practice,1,,,
9653,GP Practice,1,,,
9670,GP Practice,1,,,
9675,GP Practice,1,,,
9679,GP Practice,1,,,
9681,GP Practice,1,,,
9685,GP Practice,1,,,
9687,GP Practice,1,,,
9689,GP Practice,1,,,
9694,GP Practice,1,,,
9696,GP Practice,1,,,
9710,GP Practice,1,,,
9713,GP Practice,1,,,
9722,GP Practice,1,,,
9729,GP Practice,1,,,
9762,Outpatient Private,,1,,
9763,Outpatient Private,,1,,
9764,Outpatient Private,,1,,
9765,Outpatient Private,,1,,
9766,Outpatient Trust,,,1,
9767,Outpatient Trust,,,1,
9768,Outpatient Trust,,,1,
9769,Outpatient Trust,,,1,
9770,Outpatient Trust,,,1,
9771,Outpatient Trust,,,1,
9772,Outpatient Trust,,,1,
9773,Outpatient Trust,,,1,
9774,Outpatient Trust,,,1,
9775,Outpatient Trust,,,1,
9776,Outpatient Trust,,,1,
9800,GP Practice,1,,,
9801,GP Practice,1,,,
9804,GP Practice,1,,,
9805,GP Practice,1,,,
9808,GP Practice,1,,,
9851,GP Practice,1,,,
9854,GP Practice,1,,,
9861,GP Practice,1,,,
9875,GP Practice,1,,,
9896,GP Practice,1,,,
9897,GP Practice,1,,,
9903,GP Practice,1,,,
9938,GP Practice,1,,,
9964,GP Practice,1,,,
10005,GP Practice,1,,,
10043,GP Practice,1,,,
10048,GP Practice,1,,,
10052,GP Practice,1,,,
10074,GP Practice,1,,,
10075,GP Practice,1,,,
10090,GP Practice,1,,,
10149,Seen in GP's surgery,1,,,
10168,GP Practice,1,,,
10173,GP Practice,1,,,
10182,GP Practice,1,,,
10206,GP Practice,1,,,
10208,GP Practice,1,,,
10217,GP Practice,1,,,
10222,GP Practice,1,,,
10230,GP Practice,1,,,
10247,GP Practice,1,,,
10255,GP Practice,1,,,
10263,GP Practice,1,,,
10266,GP Practice,1,,,
10276,GP Practice,1,,,
10281,GP Practice,1,,,
10282,GP Practice,1,,,
10293,GP Practice,1,,,
10297,GP Practice,1,,,
10298,GP Practice,1,,,
10303,Surgery,1,,,
10310,Surgery Clinic,1,,,
10311,Surgery Clinic,1,,,
10312,Surgery Clinic,1,,,
10313,Surgery Clinic,1,,,
10322,Surgery,1,,,
10323,Surgery,1,,,
10324,Surgery,1,,,
10325,Surgery,1,,,
10326,Surgery,1,,,
10327,Surgery,1,,,
10328,Surgery,1,,,
10329,Surgery,1,,,
10338,GP Practice,1,,,
10348,GP Practice,1,,,
10359,Telephone,1,,,
10374,Telephone Advice,1,,,
10379,Telephone Advice,1,,,
10382,Telephone call to a patient,1,,,
10399,Telephone,1,,,
10402,Telephone,1,,,
10403,Telephone,1,,,
10418,GP Practice,1,,,
10425,GP Practice,1,,,
10432,GP Practice,1,,,
10436,GP Practice,1,,,
10437,GP Practice,1,,,
10438,GP Practice,1,,,
10441,GP Practice,1,,,
10442,GP Practice,1,,,
10443,GP Practice,1,,,
10445,GP Practice,1,,,
10448,GP Practice,1,,,
10450,GP Practice,1,,,
10452,GP Practice,1,,,
10453,GP Practice,1,,,
10455,GP Practice,1,,,
10467,GP Practice,1,,,
10468,GP Practice,1,,,
10474,Third party consultation,1,,,
10489,GP Practice,1,,,
10491,GP Practice,1,,,
10524,GP Practice,1,,,
10525,GP Practice,1,,,
10589,GP Practice,1,,,
10591,Urgent Appointment,1,,,
10608,GP Practice,1,,,
10609,GP Practice,1,,,
10610,GP Practice,1,,,
10614,GP Practice,1,,,
10615,GP Practice,1,,,
10617,GP Practice,1,,,
10618,GP Practice,1,,,
10620,visit,1,,,
10626,visit,1,,,
10627,Visit-Home,1,,,
10654,GP Practice,1,,,
10672,GP Practice,1,,,
10692,GP Practice,1,,,
10705,GP Practice,1,,,
10715,GP Practice,1,,,
10719,GP Practice,1,,,
10737,GP Practice,1,,,
10741,GP Practice,1,,,
10757,Accident & Emergency,,1,,
10791,GP Practice,1,,,
10794,GP Practice,1,,,
10797,GP Practice,1,,,
10822,GP Practice,1,,,
10824,GP Practice,1,,,
10837,GP Practice,1,,,
10850,GP Practice,1,,,
10856,Accident & Emergency,,1,,
10874,GP Practice,1,,,
10884,GP Practice,1,,,
10889,GP Practice,1,,,
10934,GP Practice,1,,,
10971,GP Practice,1,,,
10992,GP Practice,1,,,
11039,GP Practice,1,,,
11049,GP Practice,1,,,
11053,Accident & Emergency,,1,,
11063,GP Practice,1,,,
11067,GP Practice,1,,,
11070,GP Practice,1,,,
11072,GP Practice,1,,,
11078,Accident & Emergency,,1,,
11079,GP Practice,1,,,
11087,GP Practice,1,,,
11108,GP Practice,1,,,
11137,GP Practice,1,,,
11138,GP Practice,1,,,
11144,GP Practice,1,,,
11145,GP Practice,1,,,
11148,GP Practice,1,,,
11150,GP Practice,1,,,
11158,GP Practice,1,,,
11171,GP Practice,1,,,
11172,GP Practice,1,,,
11192,GP Practice,1,,,
11199,GP Practice,1,,,
11215,GP Practice,1,,,
11235,GP Practice,1,,,
11236,Telephone call to a patient,1,,,
11239,GP Practice,1,,,
11257,GP Practice,1,,,
11275,GP Practice,1,,,
11281,GP Practice,1,,,
11286,GP Practice,1,,,
11287,GP Practice,1,,,
11291,GP Practice,1,,,
11294,GP Practice,1,,,
11298,GP Practice,1,,,
11300,GP Practice,1,,,
11302,GP Practice,1,,,
11304,GP Practice,1,,,
11327,GP Practice,1,,,
11333,GP Practice,1,,,
11350,GP Practice,1,,,
11351,GP Practice,1,,,
11352,GP Practice,1,,,
11371,GP Practice,1,,,
11429,GP Practice,1,,,
11481,GP Practice,1,,,
11497,GP Practice,1,,,
11510,GP Practice,1,,,
11512,GP Practice,1,,,
11536,GP Practice,1,,,
11551,GP Practice,1,,,
11562,GP Practice,1,,,
11568,Accident & Emergency,,1,,
11578,GP Practice,1,,,
11605,GP Practice,1,,,
11621,GP Practice,1,,,
11631,GP Practice,1,,,
11633,GP Practice,1,,,
11635,GP Practice,1,,,
11638,GP Practice,1,,,
11648,GP Practice,1,,,
11649,GP Practice,1,,,
11652,GP Practice,1,,,
11658,GP Practice,1,,,
11660,GP Practice,1,,,
11669,GP Surgery,1,,,
11675,Telephone,1,,,
11690,GP Practice,1,,,
11692,GP Practice,1,,,
11693,GP Practice,1,,,
11712,GP Practice,1,,,
11714,Surgery,1,,,
11772,GP Practice,1,,,
11816,GP Practice,1,,,
11834,GP Practice,1,,,
11849,GP Practice,1,,,
11953,GP Practice,1,,,
11971,GP Practice,1,,,
11994,GP Practice,1,,,
12008,GP Practice,1,,,
12050,GP Practice,1,,,
12081,GP Practice,1,,,
12115,GP Practice,1,,,
12189,GP Practice,1,,,
12210,GP Practice,1,,,
12218,GP Practice,1,,,
12219,GP Practice,1,,,
12226,GP Practice,1,,,
12227,GP Practice,1,,,
12235,GP Practice,1,,,
12236,GP Practice,1,,,
12242,GP Practice,1,,,
12244,GP Practice,1,,,
12251,GP Practice,1,,,
12254,GP Practice,1,,,
12267,GP Practice,1,,,
12273,GP Practice,1,,,
12328,GP Practice,1,,,
12329,GP Practice,1,,,
12342,GP Practice,1,,,
12357,GP Practice,1,,,
12388,GP Practice,1,,,
12391,GP Practice,1,,,
12392,Accident & Emergency,,1,,
12394,GP Practice,1,,,
12407,GP Practice,1,,,
12418,Accident & Emergency,,1,,
12429,GP Practice,1,,,
12445,GP Practice,1,,,
12449,GP Practice,1,,,
12453,GP Practice,1,,,
12470,GP Practice,1,,,
12513,GP Practice,1,,,
12524,GP Practice,1,,,
12528,GP Practice,1,,,
12536,GP Practice,1,,,
12546,GP Practice,1,,,
12551,GP Practice,1,,,
12553,GP Practice,1,,,
12554,GP Practice,1,,,
12562,Accident & Emergency,,1,,
12566,GP Practice,1,,,
12615,Accident & Emergency,,1,,
12619,GP Practice,1,,,
12622,GP Practice,1,,,
12652,GP Practice,1,,,
12658,Accident & Emergency,,1,,
12696,GP Practice,1,,,
12704,GP Practice,1,,,
12705,GP Practice,1,,,
12716,GP Practice,1,,,
12719,GP Practice,1,,,
12737,GP Practice,1,,,
12755,GP Practice,1,,,
12764,GP Practice,1,,,
12768,GP Practice,1,,,
12777,GP Practice,1,,,
12788,GP Practice,1,,,
12789,GP Practice,1,,,
12810,GP Practice,1,,,
12826,GP Practice,1,,,
12844,GP Practice,1,,,
12849,GP Practice,1,,,
12854,GP Practice,1,,,
12863,GP Practice,1,,,
12869,GP Practice,1,,,
12875,GP Practice,1,,,
12889,GP Practice,1,,,
12921,GP Practice,1,,,
12927,GP Practice,1,,,
12928,GP Practice,1,,,
12935,GP Practice,1,,,
12936,GP Practice,1,,,
12971,GP Practice,1,,,
12988,GP Practice,1,,,
12989,GP Practice,1,,,
13001,GP Practice,1,,,
13003,GP Practice,1,,,
13007,Accident & Emergency,,1,,
13020,Accident & Emergency,,1,,
13025,GP Practice,1,,,
13038,GP Practice,1,,,
13053,GP Practice,1,,,
13055,GP Practice,1,,,
13057,GP Practice,1,,,
13065,Home Visit,1,,,
13067,GP Practice,1,,,
13119,GP Practice,1,,,
13124,GP Practice,1,,,
13130,GP Practice,1,,,
13131,GP Practice,1,,,
13153,GP Practice,1,,,
13155,GP Practice,1,,,
13165,GP Practice,1,,,
13181,GP Practice,1,,,
13184,GP Practice,1,,,
13197,GP Practice,1,,,
13203,GP Practice,1,,,
13209,GP Practice,1,,,
13220,GP Practice,1,,,
13221,GP Practice,1,,,
13223,GP Practice,1,,,
13228,GP Practice,1,,,
13229,GP Practice,1,,,
13231,GP Practice,1,,,
13232,GP Practice,1,,,
13236,GP Practice,1,,,
13242,GP Practice,1,,,
13258,GP Practice,1,,,
13259,GP Practice,1,,,
13260,GP Practice,1,,,
13266,GP Practice,1,,,
13277,Accident & Emergency,,1,,
13284,GP Practice,1,,,
13290,GP Practice,1,,,
13291,GP Practice,1,,,
13309,GP Practice,1,,,
13311,GP Practice,1,,,
13313,GP Practice,1,,,
13317,GP Practice,1,,,
13326,GP Practice,1,,,
13368,GP Practice,1,,,
13369,GP Practice,1,,,
13391,GP Practice,1,,,
13406,Accident & Emergency,,1,,
13424,GP Practice,1,,,
13426,GP Practice,1,,,
13458,GP Practice,1,,,
13489,GP Practice,1,,,
13490,GP Practice,1,,,
13502,GP Practice,1,,,
13503,GP Practice,1,,,
13509,GP Practice,1,,,
13512,GP Practice,1,,,
13514,GP Practice,1,,,
13518,GP Practice,1,,,
13527,GP Practice,1,,,
13539,GP Practice,1,,,
13540,GP Practice,1,,,
13543,GP Practice,1,,,
13547,GP Practice,1,,,
13565,GP Practice,1,,,
13572,GP Practice,1,,,
13580,GP Practice,1,,,
13581,GP Practice,1,,,
13587,GP Practice,1,,,
13593,GP Practice,1,,,
13596,GP Practice,1,,,
13597,GP Practice,1,,,
13602,GP Practice,1,,,
13604,GP Practice,1,,,
13608,GP Practice,1,,,
13629,GP Practice,1,,,
13632,GP Practice,1,,,
13636,GP Practice,1,,,
13639,GP Practice,1,,,
13644,GP Practice,1,,,
13652,GP Practice,1,,,
13655,GP Practice,1,,,
13656,GP Practice,1,,,
13658,GP Practice,1,,,
13660,GP Practice,1,,,
13665,GP Practice,1,,,
13674,GP Practice,1,,,
13676,GP Practice,1,,,
13696,GP Practice,1,,,
13727,GP Practice,1,,,
13732,GP Practice,1,,,
13741,GP Practice,1,,,
13743,GP Practice,1,,,
13746,GP Practice,1,,,
13747,GP Practice,1,,,
13788,GP Practice,1,,,
13802,Accident & Emergency,,1,,
13845,Accident & Emergency,,1,,
13850,GP Practice,1,,,
13887,GP Practice,1,,,
13894,GP Practice,1,,,
13916,GP Practice,1,,,
13917,GP Practice,1,,,
13933,GP Practice,1,,,
13934,GP Practice,1,,,
13935,GP Practice,1,,,
13964,Accident & Emergency,,1,,
13975,GP Practice,1,,,
13990,Accident & Emergency,,1,,
14018,GP Practice,1,,,
14021,GP Practice,1,,,
14029,Accident & Emergency,,1,,
14075,GP Practice,1,,,
14092,GP Practice,1,,,
14095,GP Practice,1,,,
14122,GP Practice,1,,,
14146,GP Practice,1,,,
14148,GP Practice,1,,,
14164,GP Practice,1,,,
14174,GP Practice,1,,,
14204,GP Practice,1,,,
14212,GP Practice,1,,,
14232,GP Practice,1,,,
14240,GP Practice,1,,,
14242,GP Practice,1,,,
14258,GP Practice,1,,,
14261,GP Practice,1,,,
14270,GP Practice,1,,,
14274,GP Practice,1,,,
14277,GP Practice,1,,,
14283,GP Practice,1,,,
14302,GP Practice,1,,,
14303,GP Practice,1,,,
14309,GP Practice,1,,,
14310,GP Practice,1,,,
14315,GP Practice,1,,,
14319,GP Practice,1,,,
14322,GP Practice,1,,,
14327,GP Practice,1,,,
14331,GP Practice,1,,,
14332,GP Practice,1,,,
14335,GP Practice,1,,,
14341,GP Practice,1,,,
14356,GP Practice,1,,,
14361,GP Practice,1,,,
14377,GP Practice,1,,,
14382,Diabetic Clinic,1,,,
14383,GP Practice,1,,,
14384,GP Practice,1,,,
14395,GP Practice,1,,,
14398,GP Practice,1,,,
14401,GP Practice,1,,,
14406,GP Practice,1,,,
14409,GP Practice,1,,,
14423,GP Practice,1,,,
14433,GP Practice,1,,,
14435,GP Practice,1,,,
14442,Surgery,1,,,
14443,Surgery,1,,,
14461,Home Visit,1,,,
14468,GP Practice,1,,,
14469,GP Practice,1,,,
14478,GP Practice,1,,,
14506,GP Practice,1,,,
14507,GP Practice,1,,,
14515,GP Practice,1,,,
14519,GP Practice,1,,,
14528,GP Practice,1,,,
14567,GP Practice,1,,,
14571,Accident & Emergency,,1,,
14634,GP Practice,1,,,
14643,GP Practice,1,,,
14646,GP Practice,1,,,
14678,GP Practice,1,,,
14714,GP Practice,1,,,
14717,GP Practice,1,,,
14724,GP Practice,1,,,
14731,GP Practice,1,,,
14736,GP Practice,1,,,
14737,GP Practice,1,,,
14748,GP Practice,1,,,
14751,GP Practice,1,,,
14759,GP Practice,1,,,
14784,GP Practice,1,,,
14791,GP Practice,1,,,
14800,GP Practice,1,,,
14801,GP Practice,1,,,
14872,GP Practice,1,,,
14888,GP Practice,1,,,
14904,GP Practice,1,,,
14908,GP Practice,1,,,
14938,GP Practice,1,,,
14967,GP Practice,1,,,
14968,GP Practice,1,,,
14983,GP Practice,1,,,
14986,GP Practice,1,,,
15001,GP Practice,1,,,
15018,GP Practice,1,,,
15021,Telephone,1,,,
15037,GP Practice,1,,,
15038,GP Practice,1,,,
15042,GP Practice,1,,,
15044,GP Practice,1,,,
15052,GP Practice,1,,,
15056,GP Practice,1,,,
15058,GP Practice,1,,,
15059,GP Practice,1,,,
15062,GP Practice,1,,,
15066,GP Practice,1,,,
15072,GP Practice,1,,,
15099,GP Practice,1,,,
15104,GP Practice,1,,,
15113,Telephone,1,,,
15116,Accident & Emergency,,1,,
15122,GP Practice,1,,,
15123,GP Practice,1,,,
15124,GP Practice,1,,,
15125,GP Practice,1,,,
15127,GP Practice,1,,,
15137,GP Practice,1,,,
15139,GP Practice,1,,,
15145,GP Practice,1,,,
15146,GP Practice,1,,,
15147,GP Practice,1,,,
15164,Accident & Emergency,,1,,
15172,GP Practice,1,,,
15188,GP Practice,1,,,
15190,GP Practice,1,,,
15197,GP Practice,1,,,
15240,GP Practice,1,,,
15242,GP Practice,1,,,
15248,GP Practice,1,,,
15255,GP Practice,1,,,
15262,GP Practice,1,,,
15266,GP Practice,1,,,
15303,GP Practice,1,,,
15309,GP Practice,1,,,
15313,GP Practice,1,,,
15317,GP Practice,1,,,
15327,GP Practice,1,,,
15330,GP Practice,1,,,
15332,GP Practice,1,,,
15333,GP Practice,1,,,
15339,GP Practice,1,,,
15340,GP Practice,1,,,
15384,GP Practice,1,,,
15400,GP Practice,1,,,
15407,GP Practice,1,,,
15411,GP Practice,1,,,
15435,GP Practice,1,,,
15436,GP Practice,1,,,
15451,GP Practice,1,,,
15456,GP Practice,1,,,
15464,GP Practice,1,,,
15466,GP Practice,1,,,
15481,GP Practice,1,,,
15487,GP Practice,1,,,
15498,Accident & Emergency,,1,,
15506,Accident & Emergency,,1,,
15508,Accident & Emergency,,1,,
15521,GP Practice,1,,,
15943,GP Practice,1,,,
16097,Accident & Emergency,,1,,
16305,Out of Hours,1,,,
16325,Accident & Emergency,,1,,
16413,GP Practice,1,,,
16501,Outpatient NHS,,,1,
16962,GP Practice,1,,,
16992,GP Practice,1,,,
17150,Accident & Emergency,,1,,
17450,Community Clinic,1,,,
18103,GP Practice,1,,,
18107,GP Practice,1,,,
18137,GP Practice,1,,,
18144,"Night visit , practice",1,,,
18153,GP Practice,1,,,
18156,Accident & Emergency,,1,,
18161,GP Practice,1,,,
18168,GP Practice,1,,,
18177,GP Practice,1,,,
18179,GP Practice,1,,,
18203,GP Practice,1,,,
18209,Accident & Emergency,,1,,
18210,GP Practice,1,,,
18213,Accident & Emergency,,1,,
18218,Night Visit - patient's home,1,,,
18221,GP Practice,1,,,
18228,GP Practice,1,,,
18237,GP Practice,1,,,
18245,GP Practice,1,,,
18246,GP Practice,1,,,
18286,GP Practice,1,,,
18287,GP Practice,1,,,
18292,GP Practice,1,,,
18293,GP Practice,1,,,
18313,GP Practice,1,,,
18318,GP Practice,1,,,
18319,GP Practice,1,,,
18328,GP Practice,1,,,
18329,GP Practice,1,,,
18331,GP Practice,1,,,
18332,GP Practice,1,,,
18335,GP Practice,1,,,
18341,GP Practice,1,,,
18343,GP Practice,1,,,
18394,GP Practice,1,,,
18399,Telephone Advice,1,,,
18413,GP Practice,1,,,
18497,GP Practice,1,,,
18649,GP Practice,1,,,
18682,GP Practice,1,,,
18683,GP Practice,1,,,
18684,GP Practice,1,,,
18691,GP Practice,1,,,
18692,GP Practice,1,,,
18693,GP Practice,1,,,
18696,GP Practice,1,,,
18708,GP Practice,1,,,
18721,GP Practice,1,,,
18737,GP Practice,1,,,
18745,GP Practice,1,,,
18748,Accident & Emergency,,1,,
18749,GP Practice,1,,,
18752,GP Practice,1,,,
18783,GP Practice,1,,,
18787,Accident & Emergency,,1,,
18819,GP Practice,1,,,
18825,GP Practice,1,,,
18833,GP Practice,1,,,
18835,GP Practice,1,,,
18839,GP Practice,1,,,
18844,GP Practice,1,,,
18847,GP Practice,1,,,
18857,GP Practice,1,,,
18861,GP Practice,1,,,
18878,GP Practice,1,,,
18896,GP Practice,1,,,
18907,GP Practice,1,,,
18918,Telephone,1,,,
18944,GP Practice,1,,,
18972,GP Practice,1,,,
18986,GP Practice,1,,,
19030,GP Practice,1,,,
19036,GP Practice,1,,,
19039,GP Practice,1,,,
19045,Home Visit,1,,,
19050,GP Practice,1,,,
19092,GP Practice,1,,,
19110,GP Practice,1,,,
19128,GP Practice,1,,,
19129,Telephone call from a patient,1,,,
19152,GP Practice,1,,,
19157,Telephone encounter,1,,,
19180,GP Practice,1,,,
19201,GP Practice,1,,,
19202,GP Practice,1,,,
19238,GP Practice,1,,,
19266,GP Practice,1,,,
19344,Telephone,1,,,
19379,GP Practice,1,,,
19380,GP Practice,1,,,
19381,GP Practice,1,,,
19421,GP Practice,1,,,
19426,GP Practice,1,,,
19433,GP Practice,1,,,
19439,GP Practice,1,,,
19441,GP Practice,1,,,
19442,GP Practice,1,,,
19445,GP Practice,1,,,
19472,GP Practice,1,,,
19481,GP Practice,1,,,
19484,GP Practice,1,,,
19495,GP Practice,1,,,
19516,GP Practice,1,,,
19527,GP Practice,1,,,
19535,GP Practice,1,,,
19537,GP Practice,1,,,
19540,GP Practice,1,,,
19541,GP Practice,1,,,
19543,GP Practice,1,,,
19551,Night Visit patients home,1,,,
19564,GP Practice,1,,,
19569,GP Practice,1,,,
19609,GP Practice,1,,,
19613,GP Practice,1,,,
19614,GP Practice,1,,,
19617,GP Practice,1,,,
19629,GP Practice,1,,,
19648,GP Practice,1,,,
19664,GP Practice,1,,,
19669,GP Practice,1,,,
19670,GP Practice,1,,,
19723,GP Practice,1,,,
19729,GP Practice,1,,,
19736,GP Practice,1,,,
19737,GP Practice,1,,,
19738,GP Practice,1,,,
19739,GP Practice,1,,,
19776,GP Practice,1,,,
19797,GP Practice,1,,,
19813,GP Practice,1,,,
19816,GP Practice,1,,,
19819,GP Practice,1,,,
19826,GP Practice,1,,,
19832,GP Practice,1,,,
19840,GP Practice,1,,,
19841,GP Practice,1,,,
19842,GP Practice,1,,,
19844,GP Practice,1,,,
19846,GP Practice,1,,,
19850,GP Practice,1,,,
19852,GP Practice,1,,,
19860,GP Practice,1,,,
19886,GP Practice,1,,,
19888,GP Practice,1,,,
19897,GP Practice,1,,,
19909,GP Practice,1,,,
19917,GP Practice,1,,,
19928,GP Practice,1,,,
19943,GP Practice,1,,,
19947,GP Practice,1,,,
19951,GP Practice,1,,,
19955,GP Practice,1,,,
19959,GP Practice,1,,,
19963,GP Practice,1,,,
19968,GP Practice,1,,,
19970,GP Practice,1,,,
19973,GP Practice,1,,,
19986,GP Practice,1,,,
19987,Telephone call to a patient,1,,,
19991,GP Practice,1,,,
19996,GP Practice,1,,,
19998,GP Practice,1,,,
20001,GP Practice,1,,,
20002,GP Practice,1,,,
20012,GP Practice,1,,,
20016,GP Practice,1,,,
20027,GP Practice,1,,,
20038,GP Practice,1,,,
20039,GP Practice,1,,,
20045,GP Practice,1,,,
20050,GP Practice,1,,,
20057,GP Practice,1,,,
20059,GP Practice,1,,,
20060,GP Practice,1,,,
20095,GP Practice,1,,,
20098,GP Practice,1,,,
20105,GP Practice,1,,,
20135,GP Practice,1,,,
20175,GP Practice,1,,,
20190,GP Practice,1,,,
20212,GP Practice,1,,,
20234,GP Practice,1,,,
20244,Surgery,1,,,
20256,GP Practice,1,,,
20258,GP Practice,1,,,
20262,GP Practice,1,,,
20269,GP Practice,1,,,
20274,GP Practice,1,,,
20280,GP Practice,1,,,
20287,GP Practice,1,,,
20292,GP Practice,1,,,
20320,GP Practice,1,,,
20324,GP Practice,1,,,
20326,GP Practice,1,,,
20327,GP Practice,1,,,
20488,GP Practice,1,,,
20496,GP Practice,1,,,
20497,GP Practice,1,,,
20516,GP Practice,1,,,
20525,GP Practice,1,,,
20529,GP Practice,1,,,
20537,GP Practice,1,,,
20547,GP Practice,1,,,
20550,GP Practice,1,,,
20552,Telephone,1,,,
20562,GP Practice,1,,,
20571,GP Practice,1,,,
20573,Hospital,,,,1
20578,GP Practice,1,,,
20613,GP Practice,1,,,
20617,GP Practice,1,,,
20640,GP Practice,1,,,
20641,GP Practice,1,,,
20669,GP Practice,1,,,
20697,GP Practice,1,,,
20705,GP Practice,1,,,
20716,Telephone Consultation,1,,,
20724,Telephone,1,,,
20753,GP Practice,1,,,
20770,GP Practice,1,,,
20779,GP Practice,1,,,
20796,GP Practice,1,,,
20836,GP Practice,1,,,
20838,GP Practice,1,,,
20848,GP Practice,1,,,
